-99,-124,-98,-130
193,-127,190,-137
-96,-117,-99,-124
-96,-117,-102,-109
-94,-116,-96,-117
-136,-106,-110,-109
-162,-103,-136,-106
191,-116,193,-127
-95,-109,-94,-116
-102,-109,-110,-109
195,-114,194,-102
195,-114,191,-116
-87,-107,-95,-109
-83,-100,-81,-97
-83,-99,-87,-107
194,-102,192,-67
81,-104,81,-139
-82,-97,-83,-99
-82,-97,-81,-93
-81,-93,-82,-91
-82,-91,-88,-89
-88,-89,-83,-82
141,-91,154,-86
-83,-82,-82,-81
162,-86,170,-78
154,-86,162,-86
128,-86,135,-85
128,-86,116,-79
135,-85,141,-91
-64,-78,-82,-81
16,-81,10,-78
23,-79,16,-81
102,-80,81,-80
81,-80,81,-104
81,-80,81,-78
10,-78,9,-102
10,-78,7,-67
116,-79,102,-80
116,-79,122,-69
170,-78,180,-72
81,-78,76,-78
76,-78,49,-78
49,-78,28,-77
28,-77,23,-79
28,-77,35,-68
-59,-71,-64,-78
140,-74,139,-69
231,-65,257,-64
211,-66,326,-57
211,-66,231,-65
192,-67,180,-72
192,-67,205,-60
141,-69,140,-74
141,-69,142,-64
133,-69,136,-67
133,-69,136,-67
129,-69,133,-69
129,-69,133,-69
122,-69,126,-58
35,-68,37,-63
-58,-64,-59,-71
128,-68,129,-69
128,-68,129,-69
136,-67,139,-69
136,-67,139,-69
124,-66,128,-68
7,-64,7,-67
142,-64,153,-59
-58,-59,-58,-64
37,-63,40,-60
205,-60,211,-57
40,-60,44,-47
-64,-54,-58,-59
157,-60,157,-55
211,-57,211,-66
211,-57,227,-45
153,-59,157,-60
141,-57,142,-52
126,-58,124,-66
126,-58,127,-57
3,-56,7,-64
130,-57,141,-57
130,-57,135,-47
127,-57,130,-57
-64,-51,-64,-54
157,-55,172,-44
142,-52,136,-51
4,-50,3,-56
4,-50,-1,-50
-1,-50,-27,-48
-27,-48,-53,-46
-69,-45,-64,-51
-69,-45,-53,-46
136,-51,138,-49
140,-49,142,-34
139,-49,136,-51
138,-49,140,-49
227,-45,229,-41
189,-47,194,-46
44,-47,44,-34
198,-46,203,-47
194,-46,198,-46
194,-46,194,-43
135,-47,139,-49
184,-45,189,-47
-69,-40,-69,-45
179,-44,184,-45
229,-41,230,-40
194,-43,199,-39
172,-44,179,-44
-78,-37,-69,-40
230,-40,233,-37
233,-37,232,-34
199,-39,204,-38
6,-39,4,-50
204,-38,209,-37
209,-37,229,-35
232,-34,229,-35
232,-34,229,-30
229,-30,227,-21
142,-34,152,-26
142,-34,139,-26
44,-34,43,-27
3,-32,6,-39
-80,-27,-78,-37
-80,-21,-80,-27
220,-24,210,-23
43,-27,38,-13
-78,-20,-80,-21
265,-20,283,-13
139,-26,137,-7
210,-23,209,-20
3,-23,3,-32
227,-21,220,-24
227,-21,228,-20
228,-20,240,-16
209,-20,216,-8
-81,-14,-78,-20
254,-16,265,-20
283,-13,293,1
240,-16,254,-16
159,-20,152,-26
-81,-9,-81,-14
-81,-9,-100,-7
-100,-7,-125,-5
-125,-5,-150,-2
-150,-2,-175,2
38,-13,38,-10
110,-14,104,-9
216,-8,225,-5
38,-10,40,-8
104,-9,106,0
225,-5,227,-4
297,1,295,5
293,1,297,1
40,-8,40,1
9,-6,3,-23
-81,0,-81,-9
227,-4,252,5
137,-7,133,1
295,5,298,9
273,3,281,5
281,5,277,7
277,7,287,17
120,-1,110,-14
252,5,255,6
298,9,292,13
264,7,273,3
255,6,262,8
159,1,159,-20
133,1,128,3
124,0,120,-1
109,0,112,5
106,0,109,0
40,1,39,4
9,2,9,-6
9,2,10,6
-85,9,-81,0
262,8,264,7
127,3,124,0
128,3,127,3
39,4,40,5
291,13,305,28
158,5,159,1
292,13,305,26
40,5,44,13
10,6,14,9
112,5,114,10
14,9,13,13
-93,17,-85,9
287,17,303,24
114,10,118,12
13,13,16,22
161,12,158,5
118,12,119,30
-96,21,-93,17
44,13,46,21
-98,23,-96,21
199,20,186,25
4,21,2,21
2,21,2,26
201,22,199,20
16,22,23,37
46,21,45,26
178,23,179,30
169,22,161,12
9,25,4,21
186,25,185,28
2,26,8,32
208,28,204,31
201,27,201,22
169,26,169,22
45,26,49,27
63,26,67,36
59,26,65,35
49,27,49,33
198,29,201,27
185,28,182,28
182,28,178,23
173,28,176,33
-114,38,-98,23
204,31,202,34
179,30,176,30
198,31,198,29
176,30,173,28
12,31,9,25
200,33,198,31
119,30,115,35
8,32,8,35
202,34,200,33
176,33,174,33
16,33,12,31
174,33,171,37
